id,name,name_full,0-19 years old,20-39 years old,40-64 years old,65-79 years old,80+ years old,Total,recycling_efficiency,recyclable_weight,incinerable_weight,total_waste
1,centre,Centre,1840,5759,4073,990,414,13076,0.8328187856,17232.05,3014,20246.05
2,maupas-valency,Maupas / Valency,1970,5649,4347,1155,550,13671,0.6766022794,49639.7,20961,70600.2
3,sébeillon-malley,Sébeillon / Malley,2224,4976,3351,900,382,11833,0.5926033064,9097.55,5939,15036.45
4,montoie-bourdonnette,Montoie / Bourdonnette,1858,2935,2379,662,213,8047,0.5761477594,23993.75,15653,39646.75
5,montriond-cour,Montriond / Cour,1523,3159,2659,888,411,8640,0.5534844223,7154.95,6674,13828.65
6,sous-gare-ouchy,Sous-Gare / Ouchy,1730,3842,3451,1217,630,10870,0.5491744709,18958.5,18036,36994.1
7,montchoisi,Montchoisi,596,1371,1204,393,202,3766,0.5203339854,14951.2,14984,29935.4
8,florimont-chissiez,Florimont / Chissiez,1118,1962,1879,584,300,5843,0.5177080613,19102.6,19624,38726.6
9,mousquines-bellevue,Mousquines / Bellevue,563,846,928,278,141,2756,0.4966445259,27647.4,29055,56702.8
10,vallon-béthusy,Vallon / Béthusy,1067,2833,1835,550,285,6570,0.4660393583,12073.6,15440,27513.2
11,chailly-rovéréaz,Chailly / Rovéréaz,1816,2801,3079,1217,712,9625,0.4356081473,4225.1,6259,10484.1
12,sallaz-vennes-séchaud,Sallaz / Vennes / Séchaud,4084,5372,4880,1234,661,16231,0.4228327106,17697.9,32581,50278.8
13,sauvabelin,Sauvabelin,295,298,324,51,41,1009,0.4142688067,17521.35,26996,44517
14,borde-bellevaux,Borde / Bellevaux,2086,2920,3154,1057,538,9755,0.384186519,13753.3,22574,36327.5
15,vinet-pontaise,Vinet / Pontaise,1029,3123,2287,657,314,7410,0.3783416837,16397.7,28519,44916.85
16,bossons-blécherette,Bossons / Blécherette,2279,2827,2918,809,427,9260,0.3731963495,21729.4,41366,63095.45
17,beaulieu-grey-boisy,Beaulieu / Grey / Boisy,1187,1703,1917,899,629,6335,0.3278073707,62931.55,131018,193949.25